name,site_code,longitude,latitude,trap_type,disease_week,species,date,males,females
Ambassador,27,-112.029156,40.846014,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,6
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Amelia Earhart (F.S. #9),5,-112.02854,40.778689,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,2
ATV,29,-111.944005,40.826462,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,2
Audubon,52,-112.114005,40.826291,CO2,18,Culex pipiens,05/02/25 2:34 PM,,2
Blackhawk,24,-112.016928,40.806671,CO2,18,Culex pipiens,05/02/25 2:34 PM,,2
Deseret Nursery,37,-112.029477,40.740352,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Deseret Nursery,37,-112.029477,40.740352,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,3
Drechsel,9,-111.970167,40.841775,CO2,18,Culex pipiens,05/02/25 2:34 PM,,2
Drechsel,9,-111.970167,40.841775,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,2
Elephant Island,62,-112.049517,40.852033,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,5
Fair Park,32,-111.920029,40.772369,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,5
Glendale Golf Course,33,-111.931808,40.727647,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Glendale Golf Course,33,-111.931808,40.727647,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
Goat Farm,54,-112.063284,40.787677,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
Goggin,25,-112.012101,40.793303,CO2,18,Culex pipiens,05/02/25 2:34 PM,,14
Goggin,25,-112.012101,40.793303,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,39
Harrison,26,-112.031522,40.830952,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Harrison,26,-112.031522,40.830952,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,9
Hinckley,3,-111.953357,40.84209,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Hinckley,3,-111.953357,40.84209,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,12
Inland Sea,35,-112.101481,40.816002,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,6
Jade,53,-112.069104,40.824112,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,34
KETO Pumps,60,-111.967566,40.747503,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,2
Lakefront,57,-112.023355,40.86989,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,13
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Lee Kay Dog Training Grounds,30,-112.045785,40.727823,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
New State,63,-111.981345,40.871167,CO2,18,Culex pipiens,05/02/25 2:34 PM,,2
New State,63,-111.981345,40.871167,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
Noggin,65,-112.059,40.81327,CO2,18,Culex pipiens,05/02/25 2:34 PM,,8
Noggin,65,-112.059,40.81327,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,3
Northpoint,56,-111.982075,40.845859,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,4
O'Reillys,59,-112.038803,40.754836,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
Prison,61,-112.084522,40.800948,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
RAC Soccer,1,-111.942333,40.815674,CO2,18,Culex pipiens,05/02/25 2:34 PM,,2
RAC Soccer,1,-111.942333,40.815674,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,6
Rose Park Golf Course,31,-111.937342,40.80014,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Rose Park Golf Course,31,-111.937342,40.80014,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,1
Rudy,4,-112.003105,40.844458,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,2
SLCMAD Facility,64,-111.955752,40.816544,CO2,18,Culex pipiens,05/02/25 2:34 PM,,1
Train Tracks,58,-112.003557,40.754243,CO2,18,Culex pipiens,05/02/25 2:34 PM,,3
Train Tracks,58,-112.003557,40.754243,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,9
Wingpointe,34,-111.97708,40.771529,CO2,18,Culex tarsalis,05/02/25 2:34 PM,,15
