system:index,mean,site_code,.geo
00000000000000000000,0.4206825947176925,Site 224,"{""type"":""Polygon"",""coordinates"":[[[-111.8419686652451,40.73402209627252],[-111.84362719828331,40.733843006971284],[-111.84515368705584,40.73331999733553],[-111.84642660583532,40.73249470634949],[-111.84734462625535,40.73143283693535],[-111.84783468430534,40.73021892295426],[-111.8478577929736,40.72894959748503],[-111.84741213886825,40.72772589910698],[-111.84653321843142,40.72664522914482],[-111.8452910054414,40.72579360010467],[-111.8437843774474,40.72523879183181],[-111.84213324593085,40.72502495930087],[-111.84046901637726,40.72516912030203],[-111.83892413606924,40.725659801847954],[-111.83762155920407,40.72645795272838],[-111.83666496544171,40.72750004978998],[-111.83613050870837,40.72870315136633],[-111.83606075251785,40.72997149654524],[-111.83646127543994,40.73120412587282],[-111.83730021894009,40.73230291746882],[-111.83851081611165,40.733180398958794],[-111.83999670226396,40.73376671294741],[-111.84163958591088,40.734015180747335],[-111.8419686652451,40.73402209627252]]]}"
00000000000000000001,0.3296107029115935,Site 229,"{""type"":""Polygon"",""coordinates"":[[[-111.88317075897893,40.73411127829359],[-111.88482929424029,40.73393218899231],[-111.88635578505887,40.73340917935645],[-111.88762870554439,40.732583888370286],[-111.88854672719462,40.731522018956014],[-111.88903678590111,40.73030810497486],[-111.8890598946,40.72903877950563],[-111.88861423989707,40.72781508112764],[-111.88773531828213,40.7267344111656],[-111.88649310362729,40.72588278212558],[-111.88498647361433,40.72532797385282],[-111.88333533988524,40.72511414132193],[-111.88167110810154,40.725258302323056],[-111.88012622572329,40.72574898386889],[-111.87882364711247,40.7265471347492],[-111.87786705206796,40.72758923181066],[-111.87733259461804,40.728792333386934],[-111.87726283833366,40.73006067856583],[-111.87766336179224,40.73129330789348],[-111.87850230641658,40.7323920994896],[-111.87971290521062,40.733269580979695],[-111.88119879335454,40.73385589496842],[-111.88284167920362,40.734104362768406],[-111.88317075897893,40.73411127829359]]]}"
00000000000000000002,0.13955823385888938,Site 230,"{""type"":""Polygon"",""coordinates"":[[[-111.89809537020481,40.75733427657993],[-111.89975448470993,40.757155187268935],[-111.90128150863522,40.7566321776069],[-111.90255487363491,40.75580688658633],[-111.90347321581875,40.7547450171401],[-111.90396344557598,40.75353110313945],[-111.9039865622524,40.75226177766926],[-111.90354075184926,40.75103807930915],[-111.90266152327622,40.74995740937823],[-111.90141887485304,40.74910578037288],[-111.89991171878633,40.74855097212751],[-111.89826000857313,40.74833713960818],[-111.8965951957344,40.748481300601455],[-111.89504977395246,40.74897198212244],[-111.89374674050443,40.749770132968685],[-111.89278981138786,40.75081222999748],[-111.89225516723378,40.75201533155268],[-111.89218538649907,40.75328367672867],[-111.89258604973773,40.7545163060725],[-111.89342528727312,40.755615097698836],[-111.89463630880864,40.75649257922374],[-111.89612271587289,40.757078893241],[-111.89776617549764,40.75732736105437],[-111.89809537020481,40.75733427657993]]]}"
00000000000000000003,0.2673186228734531,Site 027,"{""type"":""Polygon"",""coordinates"":[[[-112.02915726836771,40.85051165219274],[-112.03081871378772,40.85033256284262],[-112.03234788296919,40.849809553075445],[-112.03362303672287,40.848984261916506],[-112.03454266875477,40.847922392341886],[-112.03503358683122,40.84670847826288],[-112.03505673560953,40.84543915278883],[-112.03461029865838,40.84421545450054],[-112.03372983486597,40.843134784694726],[-112.03248544093061,40.84228315582871],[-112.03097616798945,40.84172834769343],[-112.02932213796693,40.8415145152206],[-112.02765498692506,40.84165867618228],[-112.0261073945476,40.842149357603425],[-112.02480253080505,40.84294750831274],[-112.02384425736071,40.84398960521025],[-112.02330886189675,40.845192706680756],[-112.02323898277203,40.8464610518451],[-112.02364020849471,40.84769368125394],[-112.02448062472311,40.84879247300169],[-112.0256933473979,40.84966995466651],[-112.02718184263153,40.85025626879851],[-112.02882761116712,40.850504736665634],[-112.02915726836771,40.85051165219274]]]}"
00000000000000000004,0.14463423179924398,Site 005,"{""type"":""Polygon"",""coordinates"":[[[-112.02854191242231,40.78318814448782],[-112.03020167258916,40.78300905516597],[-112.03172929074883,40.7824860454748],[-112.0330031512321,40.78166075441586],[-112.03392185070291,40.78059888493406],[-112.03441227112411,40.779384970911686],[-112.03443539669277,40.778115645440415],[-112.0339894127363,40.77689194710022],[-112.03310984200841,40.77581127720398],[-112.03186671007961,40.77495964823725],[-112.03035896764017,40.7744048400224],[-112.02870661484144,40.77419100751596],[-112.02704115432208,40.77433516850047],[-112.02549513128669,40.77482584999378],[-112.02419159084839,40.77562400080207],[-112.02323428935401,40.77666609779448],[-112.02269943708765,40.777869199326204],[-112.02262962909901,40.77913754449896],[-112.02303044814538,40.78037017386081],[-112.02387001217791,40.781468965520794],[-112.02508150492777,40.782346447084485],[-112.02656849041344,40.78293276113355],[-112.02821258960478,40.78318122896182],[-112.02854191242231,40.78318814448782]]]}"
00000000000000000005,0.277767111002804,Site 029,"{""type"":""Polygon"",""coordinates"":[[[-111.94400627465109,40.830962953174435],[-111.94566723013605,40.83078386383252],[-111.94719594840608,40.83026085408743],[-111.94847072618155,40.82943556295755],[-111.94939008710027,40.82837369340991],[-111.94988086049892,40.827159779347355],[-111.94990400252978,40.82589045387411],[-111.94945769727278,40.82466675557074],[-111.94857749311116,40.82358608573865],[-111.947333466065,40.822734456843364],[-111.9458246380697,40.822179648684966],[-111.94417109564789,40.82196581620237],[-111.94250443607292,40.82210997717068],[-111.94095729993293,40.8226006586128],[-111.9396528209,40.82339880935087],[-111.93869483001994,40.82444090627595],[-111.93815959247382,40.82564400776426],[-111.93808973402973,40.82691235293104],[-111.93849084152392,40.828144982326236],[-111.93933101000285,40.82924377404848],[-111.94054337511514,40.830121255683906],[-111.94203143143643,40.83070756979181],[-111.94367671466199,40.83095603764764],[-111.94400627465109,40.830962953174435]]]}"
00000000000000000006,0.11810451876608527,Site 052,"{""type"":""Polygon"",""coordinates"":[[[-112.11400504321267,40.83078904823334],[-112.11566599434133,40.83060995889151],[-112.11719470860204,40.83008694914662],[-112.11846948303449,40.829261658016996],[-112.11938884154259,40.8281997884696],[-112.11987961365483,40.826985874407185],[-112.11990275562567,40.825716548933954],[-112.11945645153966,40.82449285063044],[-112.11857624968654,40.82341218079812],[-112.11733222590263,40.822560551902576],[-112.1158234018636,40.82200574374397],[-112.1141698637773,40.82179191126129],[-112.11250320857225,40.82193607222966],[-112.11095607648893,40.82242675367196],[-112.10965160087667,40.82322490441029],[-112.10869361250904,40.82426700133561],[-112.10815837636707,40.825470102824085],[-112.10808851810685,40.826738447990884],[-112.10848962454982,40.82797107738596],[-112.10932979082585,40.829069869107975],[-112.11054215275888,40.82994735074313],[-112.11203020517753,40.83053366485083],[-112.11367548408793,40.83078213270656],[-112.11400504321267,40.83078904823334]]]}"
00000000000000000007,0.2319810285845817,Site 051,"{""type"":""Polygon"",""coordinates"":[[[-112.12244166240579,40.79934346760445],[-112.12410182645452,40.79916437827582],[-112.12562981632666,40.79864136856643],[-112.12690398675063,40.79781607748352],[-112.12782290971579,40.79675420797945],[-112.12831344940332,40.795540293943496],[-112.12833658053435,40.79427096847157],[-112.12789048801477,40.793047270143816],[-112.12701070325815,40.791966600269255],[-112.12576726888123,40.79111497132668],[-112.12425915964708,40.79056016313091],[-112.1226064048907,40.79034633063253],[-112.12094053922658,40.790490491611564],[-112.11939414008815,40.79098117308757],[-112.11809028251135,40.79177932387212],[-112.11713274808282,40.792821420841776],[-112.11659776563563,40.794024522358825],[-112.11652794059879,40.79529286752957],[-112.1169288571078,40.79652549690269],[-112.11776862537462,40.79762428858372],[-112.11898041288403,40.79850177017165],[-112.12046776019062,40.79908808424061],[-112.12211225945119,40.79933655207819],[-112.12244166240579,40.79934346760445]]]}"
00000000000000000008,0.37912539179017785,Site 028,"{""type"":""Polygon"",""coordinates"":[[[-112.0502398981484,40.80663855692788],[-112.05190024468153,40.806459467596184],[-112.05342840250309,40.80593645787856],[-112.05470271296632,40.805111166784805],[-112.05562173691207,40.80404929727071],[-112.05611233048727,40.80283538322861],[-112.0561354641315,40.80156605775639],[-112.05568932256026,40.80034235943425],[-112.05480944109988,40.79926168956949],[-112.05356587006902,40.79841006063781],[-112.05205759510743,40.79785525245066],[-112.05040465873608,40.79764141995593],[-112.048738610017,40.797785580932484],[-112.04719204094536,40.798276262400684],[-112.0458880400771,40.799074413174516],[-112.04493040040286,40.80011651013388],[-112.04439535913657,40.8013196116443],[-112.04432552639688,40.80258795681413],[-112.04472648694205,40.803820586192344],[-112.0455663474873,40.804919377882875],[-112.04677826817674,40.80579685948176],[-112.04826577896347,40.8063831735597],[-112.04991045898576,40.8066316414015],[-112.0502398981484,40.80663855692788]]]}"
00000000000000000009,0.37228629004304464,Site 024,"{""type"":""Polygon"",""coordinates"":[[[-112.01692595417809,40.81116900359819],[-112.01858641407267,40.810989914264596],[-112.02011467622638,40.810466904541855],[-112.0213890736837,40.80964161344137],[-112.02230816035977,40.80857974392102],[-112.0227987874106,40.80736582987513],[-112.02282192261607,40.80609650440271],[-112.02237575057336,40.80487280608406],[-112.02149580903945,40.803792136225375],[-112.02025215311754,40.80294050730049],[-112.01874377520411,40.80238569911869],[-112.01709072601145,40.80217186662621],[-112.01542456357643,40.802316027601236],[-112.01387788894029,40.802806709064576],[-112.01257379905769,40.803604859831744],[-112.01161609400356,40.80464695678473],[-112.01108101619813,40.80585005829104],[-112.01101117867337,40.8071184034603],[-112.01141216657433,40.80835103284167],[-112.01225208444397,40.809449824538106],[-112.01346408786645,40.810327306143805],[-112.014951700209,40.810913620227325],[-112.0165964925226,40.811162088071725],[-112.01692595417809,40.81116900359819]]]}"
