system:index,mean,site_code,.geo
00000000000000000000,0.3755955855693304,Site 001,"{""type"":""Polygon"",""coordinates"":[[[-111.94229843894763,40.820167469524044],[-111.94395912407978,40.81998838018667],[-111.94548759353076,40.81946537045376],[-111.94676216383633,40.81864007933992],[-111.9476813751511,40.817578209807166],[-111.94817206871458,40.8163642957537],[-111.94819520702208,40.81509497028091],[-111.94774897443571,40.813871271969205],[-111.94686891354186,40.81279060212261],[-111.9456250889502,40.81193897321117],[-111.94411650648205,40.81138416504002],[-111.94246323312494,40.811170332552024],[-111.9407968447481,40.811314493524],[-111.93924996036615,40.81180517497769],[-111.93794569362122,40.81260332573164],[-111.93698785866397,40.81364542267195],[-111.93645270825907,40.81484852417007],[-111.93638286122682,40.816116869338195],[-111.9367839034809,40.817349498725854],[-111.9376239352483,40.81844829043402],[-111.93883610305276,40.81932577205323],[-111.94032391717624,40.81991208614783],[-111.94196893260116,40.82016055399744],[-111.94229843894763,40.820167469524044]]]}"
00000000000000000001,0.324779315753352,Site 003,"{""type"":""Polygon"",""coordinates"":[[[-111.9534016005707,40.84659210236675],[-111.95506294771917,40.84641301301828],[-111.95659202645648,40.84589000325553],[-111.9578671047962,40.84506471210242],[-111.95878668244798,40.844002842533214],[-111.95927757150486,40.842788928457516],[-111.95930071892977,40.84151960298362],[-111.95885430839392,40.840295904692304],[-111.95797389667845,40.83921523488122],[-111.95672957633401,40.83836360600934],[-111.95522039264043,40.83780879786942],[-111.95356646042121,40.837594965394636],[-111.95189940795814,40.83773912635764],[-111.95035190709312,40.83822980778299],[-111.94904712051591,40.83902795849807],[-111.94808890374854,40.84007005540111],[-111.94755353995984,40.84127315687519],[-111.94748366498327,40.842541502040014],[-111.94788486699159,40.84377413144613],[-111.94872523352623,40.84487292318876],[-111.94993788448086,40.84575040484768],[-111.95142629167712,40.846336718974854],[-111.95307196286886,40.84658518683972],[-111.9534016005707,40.84659210236675]]]}"
00000000000000000002,0.15674218691722624,Site 004,"{""type"":""Polygon"",""coordinates"":[[[-112.00309828181136,40.84895988502615],[-112.00475968832293,40.84878079567667],[-112.006288821695,40.848257785911244],[-112.00756394559019,40.84743249475461],[-112.00848355609146,40.846370625182146],[-112.00897446267825,40.84515671110445],[-112.00899761092072,40.84388738563046],[-112.00855118442813,40.842663687340966],[-112.00767074125444,40.84158301753307],[-112.00642637645579,40.84073138866473],[-112.00491713885025,40.84017658052761],[-112.0032631475508,40.83996274805401],[-112.00159603553902,40.84010690901621],[-112.00004847939391,40.840597590439025],[-111.99874364620328,40.84139574115062],[-111.99778539519895,40.84243783805032],[-111.99725001227611,40.84364093952224],[-111.99718013479375,40.84490928468677],[-111.99758135112727,40.846141914094545],[-111.99842174768051,40.84724070584026],[-111.99963444195927,40.848118187502735],[-112.00112290233645,40.84870450163284],[-112.00276863233087,40.84895296949906],[-112.00309828181136,40.84895988502615]]]}"
00000000000000000003,0.14507966385835266,Site 005,"{""type"":""Polygon"",""coordinates"":[[[-112.02850178051284,40.783188144487816],[-112.03016154067969,40.783009055165955],[-112.03168915883936,40.7824860454748],[-112.03296301932262,40.78166075441585],[-112.03388171879344,40.78059888493405],[-112.03437213921465,40.77938497091168],[-112.0343952647833,40.778115645440415],[-112.03394928082685,40.77689194710022],[-112.03306971009894,40.77581127720398],[-112.03182657817013,40.77495964823724],[-112.0303188357307,40.7744048400224],[-112.02866648293195,40.77419100751596],[-112.02700102241259,40.774335168500464],[-112.02545499937723,40.77482584999378],[-112.02415145893892,40.77562400080207],[-112.02319415744454,40.776666097794475],[-112.02265930517818,40.7778691993262],[-112.02258949718954,40.77913754449896],[-112.0229903162359,40.78037017386081],[-112.02382988026844,40.781468965520794],[-112.0250413730183,40.78234644708448],[-112.02652835850395,40.78293276113355],[-112.0281724576953,40.783181228961816],[-112.02850178051284,40.783188144487816]]]}"
00000000000000000004,0.2680276384211832,Site 009,"{""type"":""Polygon"",""coordinates"":[[[-111.97019903423903,40.846271047090916],[-111.97186037333883,40.846091957742566],[-111.97338944466853,40.84556894798019],[-111.97466451683164,40.84474365682755],[-111.97558409002957,40.843681787258795],[-111.97607497670967,40.84246787318336],[-111.97609812402374,40.84119854770949],[-111.97565171565137,40.83997484941792],[-111.97477130820113,40.8388941796064],[-111.97352699388397,40.83804255073403],[-111.97201781749999,40.83748774259375],[-111.97036389329111,40.837273910118796],[-111.96869684890187,40.837418071081906],[-111.96714935553196,40.8379087525076],[-111.96584457527479,40.838706903223155],[-111.9648863631494,40.839749000126645],[-111.964351001955,40.84095210160102],[-111.96428112731816,40.84222044676589],[-111.96468232738421,40.84345307617177],[-111.9655226898488,40.844551867913985],[-111.96673533492938,40.84542934957243],[-111.96822373491517,40.846015663699205],[-111.9698693981342,40.846264131563885],[-111.97019903423903,40.846271047090916]]]}"
00000000000000000005,0.19439402172795717,Site 022,"{""type"":""Polygon"",""coordinates"":[[[-111.98610018859561,40.834449970198236],[-111.98776123143786,40.83427088085486],[-111.98929003010709,40.83374787110583],[-111.99056487492089,40.832922579970756],[-111.99148428418012,40.83186071041831],[-111.99197508337537,40.83064679635283],[-111.99199822660931,40.829377470879436],[-111.99155189787076,40.82815377257876],[-111.99067164741598,40.82707310275135],[-111.9894275549521,40.82622147386129],[-111.98791864762127,40.82566666570701],[-111.98626501825842,40.82545283322615],[-111.98459827105303,40.82559699419328],[-111.98305105356418,40.82608767563166],[-111.98174650593606,40.8268858263646],[-111.98078846467372,40.82792792328477],[-111.98025319897027,40.82913102476989],[-111.98018333683875,40.830399369936245],[-111.98058446541351,40.83163199933388],[-111.98142467806711,40.83273079106066],[-111.98263710693415,40.83360827270133],[-111.98412524151517,40.83419458681354],[-111.98577061127334,40.83444305467138],[-111.98610018859561,40.834449970198236]]]}"
00000000000000000006,0.4339628070820861,Site 023,"{""type"":""Polygon"",""coordinates"":[[[-112.01509772274618,40.82653952492942],[-112.01675856743682,40.826360435589365],[-112.01828718373737,40.82583742584927],[-112.01956187648884,40.82501213472597],[-112.02048117609779,40.82395026518442],[-112.02097191677889,40.8227363511256],[-112.02099505728386,40.82146702565254],[-112.02054878180829,40.82024332734575],[-112.01966863635978,40.81916265750771],[-112.01842469228227,40.81831102860581],[-112.01691596490737,40.81775622044219],[-112.01526253275198,40.81754238795738],[-112.01359598431775,40.81768654892719],[-112.01204895135167,40.81817723037405],[-112.01074455931727,40.818975381118626],[-112.00978663233654,40.820017478049955],[-112.0092514305021,40.82122057954227],[-112.00918157673473,40.82248892470962],[-112.00958265749263,40.82372155410171],[-112.0104227699453,40.82482034581819],[-112.01163505419812,40.82569782744697],[-112.0131230112634,40.82628414154943],[-112.01476818474056,40.82653260940271],[-112.01509772274618,40.82653952492942]]]}"
00000000000000000007,0.3726358522295895,Site 024,"{""type"":""Polygon"",""coordinates"":[[[-112.01689919957178,40.81116900359819],[-112.01855965946636,40.810989914264596],[-112.02008792162007,40.810466904541855],[-112.02136231907738,40.80964161344137],[-112.02228140575346,40.80857974392102],[-112.02277203280428,40.80736582987513],[-112.02279516800978,40.80609650440271],[-112.02234899596706,40.80487280608406],[-112.02146905443315,40.803792136225375],[-112.02022539851126,40.80294050730049],[-112.01871702059782,40.80238569911869],[-112.01706397140514,40.80217186662621],[-112.01539780897012,40.802316027601236],[-112.01385113433398,40.802806709064576],[-112.01254704445138,40.803604859831744],[-112.01158933939725,40.80464695678473],[-112.01105426159184,40.80585005829104],[-112.01098442406706,40.807118403460294],[-112.01138541196802,40.80835103284167],[-112.01222532983768,40.809449824538106],[-112.01343733326014,40.81032730614381],[-112.01492494560269,40.810913620227325],[-112.0165697379163,40.81116208807173],[-112.01689919957178,40.81116900359819]]]}"
00000000000000000008,0.3152163435200508,Site 025,"{""type"":""Polygon"",""coordinates"":[[[-112.01210120683827,40.79780061863995],[-112.0137613323017,40.79762152931197],[-112.01528928666188,40.79709851960431],[-112.01656342747532,40.79627322852369],[-112.01748232908871,40.79521135902175],[-112.017972857382,40.793997444987106],[-112.01799598798162,40.79272811951523],[-112.01754990583373,40.79150442118629],[-112.01667014152459,40.79042375130966],[-112.01542673604239,40.789572122364774],[-112.01391866185037,40.78901731416718],[-112.01226594549547,40.78880348166803],[-112.01060011853728,40.788947642647585],[-112.00905375533027,40.78943832412525],[-112.00774992805164,40.790236474912064],[-112.00679241587675,40.79127857188389],[-112.00625744586651,40.79248167340235],[-112.0061876224584,40.793750018573284],[-112.0065885296562,40.794982647945325],[-112.00742827841128,40.79608143962434],[-112.00864003776051,40.79695892120997],[-112.01012735050014,40.79754523527701],[-112.01177181153965,40.79779370311372],[-112.01210120683827,40.79780061863995]]]}"
00000000000000000009,0.18552554656751744,Site 026,"{""type"":""Polygon"",""coordinates"":[[[-112.03150275552181,40.83545326793525],[-112.03316382350164,40.835274178591455],[-112.03469264530625,40.834751168841294],[-112.03596750941078,40.83392587770474],[-112.03688693258027,40.8328640081509],[-112.03737773919866,40.83165009408457],[-112.03740088277881,40.83038076861114],[-112.03695454728327,40.82915707031123],[-112.03607428350736,40.82807640048517],[-112.03483017221913,40.82722477159661],[-112.03332124205899,40.82666996344353],[-112.0316675876783,40.82645613096317],[-112.03000081525671,40.82660029192996],[-112.0284535743592,40.82709097336726],[-112.0271490069924,40.82788912409873],[-112.02619095123224,40.828931221017484],[-112.02565567742633,40.83013432250169],[-112.02558581423372,40.831402667667916],[-112.02598694887457,40.83263529706625],[-112.0268271742397,40.83373408879435],[-112.02803962145258,40.83461157043652],[-112.02952777855332,40.83519788454996],[-112.03117317321178,40.8354463524084],[-112.03150275552181,40.83545326793525]]]}"
