site_code,site_name,longitude,latitude,trap_type,collection_date,disease_week,species,count,season,urban_cat
224,1700 E Church,-111.841969,40.729523,GRVD,2025-07-10,28,Culex tarsalis,NA,mid,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-07-17,29,Culex tarsalis,1,mid,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-08-21,34,Culex tarsalis,NA,late,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-08-21,34,Culex tarsalis,NA,late,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-09-05,36,Culex tarsalis,NA,late,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-09-18,38,Culex tarsalis,2,late,urban
224,1700 E Church,-111.841969,40.729523,GRVD,2025-09-25,39,Culex tarsalis,NA,late,urban
229,300 E Church,-111.883171,40.729612,GRVD,2025-06-03,23,Culex tarsalis,NA,mid,urban
229,300 E Church,-111.883171,40.729612,GRVD,2025-08-12,33,Culex tarsalis,8,late,urban
229,300 E Church,-111.883171,40.729612,GRVD,2025-09-03,36,Culex tarsalis,1,late,urban
229,300 E Church,-111.883171,40.729612,GRVD,2025-09-23,39,Culex tarsalis,2,late,urban
229,300 E Church,-111.883171,40.729612,GRVD,2025-09-30,40,Culex tarsalis,2,late,urban
230,700 S 200 W,-111.898097,40.752834,GRVD,2025-06-24,26,Culex tarsalis,1,mid,urban
230,700 S 200 W,-111.898097,40.752834,GRVD,2025-09-30,40,Culex tarsalis,4,late,urban
27,Ambassador,-112.029156,40.846014,CO2,2025-04-11,15,Culex tarsalis,7,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-04-16,16,Culex tarsalis,2,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-04-23,17,Culex tarsalis,1,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-02,18,Culex tarsalis,6,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-08,19,Culex tarsalis,28,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-15,20,Culex tarsalis,1,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-21,21,Culex tarsalis,19,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-23,21,Culex tarsalis,248,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-28,22,Culex tarsalis,660,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-05-30,22,Culex tarsalis,776,early,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-03,23,Culex tarsalis,63,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-05,23,Culex tarsalis,162,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-10,24,Culex tarsalis,670,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-12,24,Culex tarsalis,135,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-18,25,Culex tarsalis,983,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-24,26,Culex tarsalis,3090,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-06-26,26,Culex tarsalis,208,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-01,27,Culex tarsalis,2896,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-03,27,Culex tarsalis,2343,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-08,28,Culex tarsalis,4013,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-10,28,Culex tarsalis,1748,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-15,29,Culex tarsalis,4280,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-17,29,Culex tarsalis,2419,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-22,30,Culex tarsalis,28,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-24,30,Culex tarsalis,2197,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-29,31,Culex tarsalis,1346,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-29,31,Culex tarsalis,1346,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-07-31,31,Culex tarsalis,1191,mid,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-05,32,Culex tarsalis,1188,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-07,32,Culex tarsalis,1721,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-12,33,Culex tarsalis,3219,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-14,33,Culex tarsalis,1132,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-19,34,Culex tarsalis,2178,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-21,34,Culex tarsalis,1320,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-08-26,35,Culex tarsalis,2280,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-03,36,Culex tarsalis,2224,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-05,36,Culex tarsalis,13,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-09,37,Culex tarsalis,158,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-11,37,Culex tarsalis,625,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-18,38,Culex tarsalis,62,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-23,39,Culex tarsalis,5,late,rural
27,Ambassador,-112.029156,40.846014,CO2,2025-09-25,39,Culex tarsalis,40,late,rural
5,Amelia Earhart (F.S. #9),-112.02854,40.778689,CO2,2025-04-16,16,Culex tarsalis,9,early,peri
5,Amelia Earhart (F.S. #9),-112.02854,40.778689,CO2,2025-04-23,17,Culex tarsalis,7,early,peri
5,Amelia Earhart (F.S. #9),-112.02854,40.778689,CO2,2025-05-02,18,Culex tarsalis,2,early,peri
5,Amelia Earhart (F.S. #9),-112.02854,40.778689,CO2,2025-05-08,19,Culex tarsalis,1,early,peri
5,Amelia Earhart (F.S. #9),-112.02854,40.778689,CO2,2025-05-15,20,Culex tarsalis,2,early,peri
